Datetime,LMP,HenryHub
2012-01-01,27.41068652173913,2.98
2012-01-02,27.860928333333327,2.98
2012-01-03,27.41708083333334,2.97
2012-01-04,26.37241333333333,2.96
2012-01-05,26.780845000000003,2.91
2012-01-06,26.42055208333333,2.85
2012-01-07,24.49336083333333,2.85
2012-01-08,26.20049666666667,2.85
2012-01-09,30.81332583333333,2.89
2012-01-10,28.84907458333333,2.97
2012-01-11,29.04159958333333,2.81
2012-01-12,29.65399541666667,2.7
2012-01-13,29.68478375,2.67
2012-01-14,25.20239583333333,2.67
2012-01-15,25.35399083333333,2.67
2012-01-16,26.93927458333333,2.67
2012-01-17,26.7296125,2.51
2012-01-18,27.932663750000003,2.49
2012-01-19,28.078054166666664,2.36
2012-01-20,29.74669625,2.23
2012-01-21,22.85976041666667,2.23
2012-01-22,22.68834291666667,2.23
2012-01-23,25.552144166666668,2.39
2012-01-24,25.119123333333334,2.6
2012-01-25,27.29733583333333,2.61
2012-01-26,27.427138333333332,2.68
2012-01-27,27.396555833333334,2.59
2012-01-28,26.82023583333334,2.59
2012-01-29,25.43703208333333,2.59
2012-01-30,27.034065000000002,2.71
2012-01-31,27.3146,2.51
2012-02-01,28.86011333333333,2.32
2012-02-02,31.19103124999999,2.3
2012-02-03,32.59345041666666,2.4
2012-02-04,26.79287125,2.4
2012-02-05,24.546478333333337,2.4
2012-02-06,28.676424166666663,2.46
2012-02-07,29.56084208333333,2.6
2012-02-08,29.009855000000005,2.48
2012-02-09,31.16610708333333,2.5
2012-02-10,31.10247249999999,2.51
2012-02-11,24.513737083333336,2.51
2012-02-12,25.346067916666666,2.51
2012-02-13,30.23577625,2.42
2012-02-14,29.519821250000003,2.48
2012-02-15,28.238087083333333,2.54
2012-02-16,30.257331250000004,2.47
2012-02-17,30.86594875,2.67
2012-02-18,24.700932916666673,2.67
2012-02-19,24.56890416666667,2.67
2012-02-20,27.68469125,2.67
2012-02-21,28.04922416666667,2.63
2012-02-22,29.10658958333333,2.6
2012-02-23,25.63651041666667,2.68
2012-02-24,27.43246666666666,2.6
2012-02-25,24.081369583333334,2.6
2012-02-26,25.63322583333333,2.6
2012-02-27,29.295762499999995,2.55
2012-02-28,29.14353374999999,2.44
2012-02-29,32.356881249999994,2.44
2012-03-01,29.22015416666667,2.45
2012-03-02,28.29978958333333,2.38
2012-03-03,23.520103749999997,2.38
2012-03-04,22.56132916666667,2.38
2012-03-05,27.00996625,2.31
2012-03-06,24.20378916666667,2.3
2012-03-07,25.01795250000001,2.24
2012-03-08,24.91116458333333,2.24
2012-03-09,23.229016666666666,2.21
2012-03-10,20.54630875,2.21
2012-03-11,20.52672125,2.21
2012-03-12,27.20790041666667,2.17
2012-03-13,29.259785833333336,2.15
2012-03-14,28.866370416666665,2.13
2012-03-15,27.04839125,2.07
2012-03-16,27.03628125,2.01
2012-03-17,22.01378583333333,2.01
2012-03-18,21.240548333333333,2.01
2012-03-19,29.04888791666667,2.14
2012-03-20,30.737963749999995,2.19
2012-03-21,29.41569708333333,2.21
2012-03-22,27.718824166666675,2.19
2012-03-23,26.173113333333333,2.07
2012-03-24,29.1620625,2.07
2012-03-25,24.610669583333333,2.07
2012-03-26,29.548563333333334,2.16
2012-03-27,28.87228583333334,2.09
2012-03-28,28.59120916666667,2.05
2012-03-29,29.19235291666666,2.02
2012-03-30,28.16764583333333,2.0
2012-03-31,23.99861833333334,2.0
2012-04-01,20.433568333333334,2.0
2012-04-02,26.71175000000001,1.88
2012-04-03,29.64341541666667,1.94
2012-04-04,29.79603666666668,2.06
2012-04-05,32.19399916666666,1.98
2012-04-06,28.32827208333333,1.98
2012-04-07,20.193839166666667,1.98
2012-04-08,17.785890000000006,1.98
2012-04-09,30.59284791666666,1.99
2012-04-10,24.868444166666666,1.99
2012-04-11,26.48364500000001,1.91
2012-04-12,22.08003291666667,1.87
2012-04-13,23.113599583333336,1.87
2012-04-14,21.431063333333327,1.87
2012-04-15,17.950655833333336,1.87
2012-04-16,25.52289333333333,1.88
2012-04-17,26.25825291666667,1.89
2012-04-18,27.55684625,1.87
2012-04-19,26.32714583333333,1.85
2012-04-20,26.35370208333333,1.82
2012-04-21,26.41009416666667,1.82
2012-04-22,25.184199166666666,1.82
2012-04-23,26.04896625,1.89
2012-04-24,23.811770833333334,1.97
2012-04-25,25.38433416666667,1.99
2012-04-26,25.012941666666674,2.1
2012-04-27,28.91092791666667,2.05
2012-04-28,27.096996249999997,2.05
2012-04-29,25.64523291666667,2.05
2012-04-30,25.42744208333333,2.1
2012-05-01,29.06254083333333,2.29
2012-05-02,27.51468708333333,2.31
2012-05-03,26.909117916666666,2.29
2012-05-04,26.426363750000004,2.3
2012-05-05,27.988759583333334,2.3
2012-05-06,26.274833750000006,2.3
2012-05-07,30.528444583333336,2.3
2012-05-08,30.512914166666665,2.27
2012-05-09,29.591085000000003,2.36
2012-05-10,26.854650833333334,2.36
2012-05-11,34.19447875,2.37
2012-05-12,30.26603416666667,2.37
2012-05-13,27.315380000000005,2.37
2012-05-14,33.681900416666664,2.41
2012-05-15,29.004147916666664,2.38
2012-05-16,28.50057708333334,2.5
2012-05-17,25.264357500000006,2.6
2012-05-18,27.51444458333333,2.56
2012-05-19,25.866317083333332,2.56
2012-05-20,25.485132083333333,2.56
2012-05-21,29.69824375,2.6
2012-05-22,29.69054041666667,2.55
2012-05-23,30.70801208333333,2.6
2012-05-24,27.768941666666674,2.66
2012-05-25,22.82422458333333,2.56
2012-05-26,21.4570675,2.56
2012-05-27,21.50082166666667,2.56
