distance_bert,same,log_rt,subject
0.226773024,False,7.272398392570047,u6tgegpyj0
0.273911238,False,7.355001921105257,1vz3fdcvtw
0.226773024,False,7.388327859577107,mwacu22792
0.122556508,True,7.027314514039777,v75fv9pagb
0.122556508,True,7.186144304522325,9fkbaxk3zu
0.083839953,True,6.3578422665081,np8fheoehh
0.236619532,False,7.270312886079025,xyokc18f4l
0.226773024,False,7.132497551660044,nkwr4ou2vr
0.273911238,False,7.195937226475569,ael4gl3t9n
0.273911238,False,7.56164174558878,gl71hqusr0
0.236619532,False,6.679599185844383,b3kl0cgv2r
0.273911238,False,7.183870715062453,sn1yu7vsxd
0.273911238,False,6.898714534329988,xqssc38w0c
0.273911238,False,7.017506142941256,4c5xx9azr7
0.236619532,False,6.628041376179533,dbd0l1933k
0.273911238,False,7.57455848420248,spkx08cwjj
0.273911238,False,7.129297548929373,epkefl89q5
0.122556508,True,7.037027614686276,36hk5eeq3x
0.273911238,False,6.79346613258001,flr5bk7hm2
0.236619532,False,7.147559271189454,kha24hryvm
0.083839953,True,6.539585955617669,nrxcy3jh2z
0.307211459,False,7.010311867307229,wdgq8cekjp
0.226773024,False,7.527255919373784,3lr2j29be7
0.226773024,False,6.55250788703459,5zu5xn1fq8
0.307211459,False,7.222566018822171,961ytz4h4r
0.273911238,False,7.597396320212795,evdgzy3cvj
0.307211459,False,7.540621528657152,koccaak1qr
0.122556508,True,7.193685818395112,nuoxoyemfp
0.273911238,False,7.089243155027514,69bk8m4fc2
0.226773024,False,7.026426808699636,j9vhr9vzec
0.226773024,False,7.141245122350491,kfp2rkd57s
0.273911238,False,8.109525659752872,y4puhchaf9
0.083839953,True,6.735780014242327,1lzneddpkq
0.083839953,True,6.315358001522335,92yp2w9v56
0.122556508,True,6.84587987526405,gdwec44k4r
0.273911238,False,6.4457198193855785,w7t2pcpr1z
0.307211459,False,7.040536390215956,emcqel00x3
0.083839953,True,6.763884908562435,zjgl4twyhs
0.226773024,False,7.377133712833954,somzvrxnz4
0.307211459,False,7.328437352895162,hs560646yd
0.226773024,False,6.665683717782408,uy86my9o9s
0.083839953,True,6.630683385642372,7hhbw0w7y1
0.083839953,True,6.6039438246004725,ygz7kz72u2
0.122556508,True,6.784457062637643,unzj7yx25l
0.083839953,True,6.8690144506657065,bcycp1bevl
0.307211459,False,6.665683717782408,gdlhwqulft
0.122556508,True,7.487733761436444,4q5dxb7nhf
0.273911238,False,7.266827347520591,zglqpt5fh7
0.122556508,True,7.721791776817535,prlu1sa9my
0.273911238,False,6.917705609835305,2usccf4uxc
0.122556508,True,6.54965074223381,sndaggja6a
0.236619532,False,6.723832440821209,50rd5uu19e
0.273911238,False,7.257707677160043,frqx6vw2d1
0.083839953,True,6.525029657843462,l4avquduxt
0.307211459,False,6.400257445308821,dol693zfl0
0.122556508,True,7.208600337960199,1wzodbsf7y
0.236619532,False,6.651571873589727,h0th05ppt7
0.122556508,True,7.466227556215481,bacqef0gje
0.273911238,False,6.249975242259483,p7h7xsjj50
0.122556508,True,6.682108597449809,g3flm4j14z
0.236619532,False,7.00033446027523,7poq0nl7yt
0.307211459,False,7.020190708311925,246unkcyak
0.236619532,False,6.79794041297493,tzstmyxntu
0.273911238,False,8.17948018535889,3uxmxe02py
0.122556508,True,6.811244378601294,jwcxuk91x6
0.273911238,False,7.529406457837013,y52zt9vjyf
0.307211459,False,7.218176838403408,va3hb1mkox
0.083839953,True,6.612041034833092,xdomj2pout
0.122556508,True,6.8690144506657065,rrded0u35m
0.083839953,True,6.222576268071369,kzt7mhlhq0
0.122556508,True,7.494430215031565,3mb5qrf7ny
0.083839953,True,6.655440350367647,z2n4w2lvuj
0.236619532,False,6.931471805599453,rgkj29k85f
0.122556508,True,6.651571873589727,ylr2c47dx9
0.236619532,False,7.063903961472068,kzat707d4c
0.122556508,True,6.865891074883439,zc0tcyzalc
0.273911238,False,7.471363088187097,zsds20jhhb
0.236619532,False,7.04141166379481,6lbv5uhykm
0.226773024,False,6.555356891810665,9xyz8zlap8
0.083839953,True,6.666956792429207,r1c2epbxzl
0.273911238,False,7.424165281042028,4e6rrg22h5
0.273911238,False,6.75110146893676,vxyw6621ka
0.083839953,True,7.325807502595773,kdxs9d2gww
0.273911238,False,6.943122422819428,jrnkr73qqa
0.122556508,True,6.78105762593618,rxphbopbuk
0.273911238,False,6.983789965258135,lpduruhrnk
0.122556508,True,6.683360945766275,etthd39jyc
0.226773024,False,6.917705609835305,m7n1h07aw2
0.273911238,False,7.067319848653476,auc5fln1ss
0.226773024,False,7.24850407237061,4zpuq8ud9x
0.307211459,False,7.806696372521179,nh9sg3fncc
0.122556508,True,6.680854678790215,x784e4lcbj
0.236619532,False,8.15248607578024,sufdrtgf9g
0.175595999,True,6.874198495453294,qck08emfde
0.15583688,False,6.668228248417403,78f1p4m7t2
0.152515173,False,6.821107472256465,urq6h944hm
0.177187324,False,6.9985096422506015,1vz3fdcvtw
0.15583688,False,7.687080155783135,mwacu22792
0.184639931,False,7.032624261028007,9fkbaxk3zu
0.184639931,False,7.23561914106675,jjpm6guwej
0.152515173,False,7.156176637480615,ael4gl3t9n
0.175595999,True,7.0630481633881725,op2dnqu0a7
0.152515173,False,6.964135612418245,gl71hqusr0
0.152515173,False,7.198183577101943,b3kl0cgv2r
0.15583688,False,6.97354301952014,ze8q4rklbg
